gene	rice-defline
GRMZM2G032694	CK1_CaseinKinase_1.7 - CK1 includes the casein kinase 1 kinases, expressed
GRMZM2G032699	adenylate kinase isoenzyme 6, putative, expressed
GRMZM2G032703	exostosin family protein, putative, expressed
GRMZM2G032706	expressed protein
GRMZM2G032711	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G032721	plastid-specific 30S ribosomal protein 3, chloroplast precursor, putative, expressed
GRMZM2G032742	PPR repeat domain containing protein, putative, expressed
GRMZM2G032751	pollen signalling protein with adenylyl cyclase activity, putative, expressed
GRMZM2G032763	glutaredoxin, putative, expressed
GRMZM2G032766	C2 domain containing protein, putative, expressed
GRMZM2G032807	heavy metal transport/detoxification protein, putative, expressed
GRMZM2G032821	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G032847	single-stranded DNA-binding protein, putative, expressed
GRMZM2G032852	CAMK_CAMK_like.17 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G032856	glutathione S-transferase, putative, expressed
GRMZM2G032863	pleiotropic drug resistance protein, putative, expressed
GRMZM2G032865	expressed protein
GRMZM2G032878	acyl carrier protein, putative, expressed
GRMZM2G032887	expressed protein
GRMZM2G032896	cytochrome P450, putative, expressed
GRMZM2G032905	OsMADS61 - MADS-box family gene with MIKCc type-box, expressed
GRMZM2G032910	hydrolase, alpha/beta fold family domain containing protein, expressed
GRMZM2G032912	bromodomain domain containing protein, expressed
GRMZM2G032936	ABC transporter, ATP-binding protein, putative, expressed
GRMZM2G032944	methyltransferase, putative, expressed
GRMZM2G032947	sulfite oxidase, putative, expressed
GRMZM2G032955	prenylated rab acceptor, putative, expressed
GRMZM2G032958	expressed protein
GRMZM2G032962	expressed protein
GRMZM2G032967	3-hydroxy-3-methylglutaryl-coenzyme A reductase, putative, expressed
GRMZM2G032971	syntaxin, putative, expressed
GRMZM2G032977	nuclease PA3, putative, expressed
GRMZM2G033007	cytochrome c oxidase polypeptide Vc, putative, expressed
GRMZM2G033014	no apical meristem protein, putative, expressed
GRMZM2G033017	expressed protein
GRMZM2G033022	zinc knuckle domain containing protein, expressed
GRMZM2G033027	OsFBL33 - F-box domain and LRR containing protein, expressed
GRMZM2G033029	expressed protein
GRMZM2G033058	sufB/sufD domain containing protein, putative, expressed
GRMZM2G033074	plant protein of unknown function domain containing protein, expressed
GRMZM2G033086	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G033089	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G033093	OsMADS27 - MADS-box family gene with MIKCc type-box, expressed
GRMZM2G033098	cytochrome P450, putative, expressed
GRMZM2G033109	transferase family protein, putative, expressed
GRMZM2G033117	N-rich protein, putative, expressed
GRMZM2G033126	SAM dependent carboxyl methyltransferase, putative, expressed
GRMZM2G033130	protein of unknown function DUF1296 domain containing protein, expressed
GRMZM2G033135	phosphatidylinositol kinase, putative, expressed
GRMZM2G033138	Homeobox domain containing protein, expressed
GRMZM2G033141	expressed protein
GRMZM2G033154	caleosin related protein, putative, expressed
GRMZM2G033173	NUC153 domain containing protein, expressed
GRMZM2G033175	expressed protein
GRMZM2G033198	thioredoxin, putative, expressed
GRMZM2G033199	POLD4A - Putative DNA polymerase delta complex subunit, expressed
GRMZM2G033208	transketolase, chloroplast precursor, putative, expressed
GRMZM2G033219	6,7-dimethyl-8-ribityllumazine synthase, chloroplast precursor, putative, expressed
GRMZM2G033226	ATP-citrate synthase subunit 1, putative, expressed
GRMZM2G033228	expressed protein
GRMZM2G033230	bZIP transcription factor domain containing protein, expressed
GRMZM2G033243	abscisic acid insensitive 8, putative, expressed
GRMZM2G033267	BTBN10 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
GRMZM2G033273	phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
GRMZM2G033283	translation initiation factor SUI1, putative, expressed
GRMZM2G033291	RNA-binding motif protein, putative, expressed
GRMZM2G033326	transcription elongation factor 1, putative, expressed
GRMZM2G033339	beta-amylase, putative, expressed
GRMZM2G033348	expressed protein
GRMZM2G033350	SET domain containing protein, expressed
GRMZM2G033352	TRAF-type zinc finger domain-containing protein 1, putative, expressed
GRMZM2G033356	inducer of CBF expression 1, putative, expressed
GRMZM2G033359	OsGH3.2 - Probable indole-3-acetic acid-amido synthetase, expressed
GRMZM2G033375	ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed
GRMZM2G033379	heat shock protein DnaJ, putative, expressed
GRMZM2G033385	early-responsive to dehydration protein-related, putative, expressed
GRMZM2G033388	ribosomal protein L7Ae, putative, expressed
GRMZM2G033406	expressed protein
GRMZM2G033413	bZIP transcription factor, putative, expressed
GRMZM2G033426	T-complex protein, putative, expressed
GRMZM2G033430	expressed protein
GRMZM2G033437	ankyrin repeat-containing protein, putative, expressed
GRMZM2G033478	agenet domain containing protein, putative, expressed
GRMZM2G033480	DNA binding protein, putative, expressed
GRMZM2G033489	expressed protein
GRMZM2G033491	enoyl-CoA hydratase/isomerase family protein, putative, expressed
GRMZM2G033493	THYLAKOID FORMATION1, chloroplast precursor, putative, expressed
GRMZM2G033514	RING zinc finger protein, putative, expressed
GRMZM2G033515	dehydrogenase, putative, expressed
GRMZM2G033519	disease resistance RPP13-like protein 1, putative, expressed
GRMZM2G033521	armadillo/beta-catenin repeat family protein, putative, expressed
GRMZM2G033523	SAM dependent carboxyl methyltransferase family protein, putative, expressed
GRMZM2G033526	pyruvate kinase, putative, expressed
GRMZM2G033538	dirigent, putative
GRMZM2G033544	Cyclopropane-fatty-acyl-phospholipid synthase, putative, expressed
GRMZM2G033555	reductase, putative, expressed
GRMZM2G033566	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G033570	ethylene-insensitive 3, putative, expressed
GRMZM2G033576	C2 domain containing protein, putative, expressed
GRMZM2G033578	cullin, putative, expressed
GRMZM2G033592	alpha-N-acetylglucosaminidase, putative, expressed
GRMZM2G033612	growth regulating factor protein, putative, expressed
GRMZM2G033619	HEAT repeat family protein, putative, expressed
GRMZM2G033626	26S proteasome non-ATPase regulatory subunit 14, putative, expressed
GRMZM2G033630	OsSCP5 - Putative Serine Carboxypeptidase homologue, expressed
GRMZM2G033634	hydrolase, NUDIX family protein, expressed
GRMZM2G033641	patellin protein, putative, expressed
GRMZM2G033644	2-oxo acid dehydrogenases acyltransferase domain containing protein, expressed
GRMZM2G033649	patellin protein, putative, expressed
GRMZM2G033653	ribosomal protein S6, putative, expressed
GRMZM2G033656	AP2 domain containing protein, expressed
GRMZM2G033665	MLO domain containing protein, putative, expressed
GRMZM2G033671	expressed protein
GRMZM2G033680	calcineurin B, putative, expressed
GRMZM2G033685	aspartic proteinase nepenthesin-2 precursor, putative, expressed
GRMZM2G033689	inactive receptor kinase At2g26730 precursor, putative, expressed
GRMZM2G033694	SET domain containing protein, expressed
GRMZM2G033724	peptidase, trypsin-like serine and cysteine proteases, putative, expressed
GRMZM2G033746	DTA2, putative, expressed
GRMZM2G033767	glycerol-3-phosphate acyltransferase, putative, expressed
GRMZM2G033773	cyclin-dependent kinase B2-1, putative, expressed
GRMZM2G033780	expressed protein
GRMZM2G033785	kinesin motor domain containing protein, putative, expressed
GRMZM2G033787	phosphatase, putative, expressed
GRMZM2G033799	aminotransferase, classes I and II, domain containing protein, expressed
GRMZM2G033801	expressed protein
GRMZM2G033805	leaf senescence related protein, putative, expressed
GRMZM2G033814	expressed protein
GRMZM2G033820	phospholipase A2, putative, expressed
GRMZM2G033828	retinoblastoma-related protein-like, putative, expressed
GRMZM2G033829	OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed
GRMZM2G033846	EF hand family protein, putative, expressed
GRMZM2G033855	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G033867	DUF581 domain containing protein, expressed
GRMZM2G033871	OsSAUR16 - Auxin-responsive SAUR gene family member, expressed
GRMZM2G033876	BAH domain containing protein, putative, expressed
GRMZM2G033884	tetratricopeptide-like helical, putative, expressed
GRMZM2G033885	chlorophyll A-B binding protein, putative, expressed
GRMZM2G033894	dehydrogenase E1 component domain containing protein, expressed
GRMZM2G033910	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G033915	expressed protein
GRMZM2G033926	acyltransferase, putative, expressed
GRMZM2G033930	GHMP kinases ATP-binding protein, putative, expressed
GRMZM2G033931	KIP1, putative, expressed
GRMZM2G033935	1-aminocyclopropane-1-carboxylate oxidase protein, putative, expressed
GRMZM2G033937	OsRhmbd16 - Putative Rhomboid homologue, expressed
GRMZM2G033952	caffeoyl-CoA O-methyltransferase, putative, expressed
GRMZM2G033962	response regulator receiver domain containing protein, expressed
GRMZM2G033971	Divergent PAP2 family domain containing protein, expressed
GRMZM2G033985	peroxidase precursor, putative, expressed
GRMZM2G034005	ankyrin repeat domain containing protein, expressed
GRMZM2G034013	expressed protein
GRMZM2G034015	expressed protein
GRMZM2G034019	SAG20, putative, expressed
GRMZM2G034024	expressed protein
GRMZM2G034025	expressed protein
GRMZM2G034043	RNA polymerase II-associated protein 3, putative, expressed
GRMZM2G034052	CGMC_MAPKCMGC_2.8 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
GRMZM2G034061	transporter family protein, putative, expressed
GRMZM2G034065	CAMK_CAMK_like.38 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G034069	reductase, putative, expressed
GRMZM2G034079	nicotinate-nucleotide pyrophosphorylase, putative, expressed
GRMZM2G034083	ATP-grasp domain containing protein, expressed
GRMZM2G034096	AGAP003819-PA, putative, expressed
GRMZM2G034110	MYB family transcription factor, putative, expressed
GRMZM2G034113	homeobox associated leucine zipper, putative, expressed
GRMZM2G034120	PX domain containing protein, expressed
GRMZM2G034122	tetratricopeptide repeat containing protein, putative, expressed
GRMZM2G034143	uridine/cytidine kinase-like 1, putative, expressed
GRMZM2G034152	amine oxidase, flavin-containing, domain containing protein, expressed
GRMZM2G034153	enoyl-CoA hydratase/isomerase family protein, putative, expressed
GRMZM2G034155	receptor-like protein kinase 2 precursor, putative, expressed
GRMZM2G034157	hsp20/alpha crystallin family protein, putative, expressed
GRMZM2G034163	phototropic-responsive NPH3 family protein, putative, expressed
GRMZM2G034174	tRNA-splicing endonuclease subunit Sen2, putative, expressed
GRMZM2G034182	methylenetetrahydrofolate reductase, putative, expressed
GRMZM2G034183	SCF apoptosis response protein, putative, expressed
GRMZM2G034188	expressed protein
GRMZM2G034197	lipase, putative, expressed
GRMZM2G034206	LGC1, putative, expressed
GRMZM2G034217	mTERF family protein, expressed
GRMZM2G034225	expressed protein
GRMZM2G034229	annexin, putative, expressed
GRMZM2G034233	CESA1 - cellulose synthase, expressed
GRMZM2G034242	chloroplast unusual positioning protein, putative, expressed
GRMZM2G034243	galactose mutarotase-like, putative, expressed
GRMZM2G034247	CCR4-NOT transcription factor, putative, expressed
GRMZM2G034253	histidine kinase, putative, expressed
GRMZM2G034260	mediator of RNA polymerase II transcription subunit 10, putative, expressed
GRMZM2G034268	tubulin binding cofactor C, putative, expressed
GRMZM2G034271	patatin, putative, expressed
GRMZM2G034276	expressed protein
GRMZM2G034278	methylenetetrahydrofolate reductase, putative, expressed
GRMZM2G034283	glutaredoxin, putative, expressed
GRMZM2G034288	histone-lysine N-methyltransferase, putative, expressed
GRMZM2G034298	B4-BTB4 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with B4 subfamily conserved sequence, expressed
GRMZM2G034300	H-BTB5 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed
GRMZM2G034302	sucrose transporter, putativ, expressed
GRMZM2G034313	retrotransposon protein, putative, unclassified, expressed
GRMZM2G034318	embryogenesis transmembrane protein, putative, expressed
GRMZM2G034326	DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative, expressed
GRMZM2G034342	expressed protein
GRMZM2G034348	patellin protein, putative, expressed
GRMZM2G034357	exportin 1, putative, expressed
GRMZM2G034360	transferase family protein, putative, expressed
GRMZM2G034362	Myosin head domain containing protein, expressed
GRMZM2G034364	AMP deaminase, putative, expressed
GRMZM2G034372	transposon protein, putative, unclassified, expressed
GRMZM2G034383	TOM2B, putative, expressed
GRMZM2G034385	DUF640 domain containing protein, putative, expressed
GRMZM2G034389	peptide transporter PTR2, putative, expressed
GRMZM2G034404	ACT domain containing protein, expressed
GRMZM2G034410	small G protein family protein, putative, expressed
GRMZM2G034417	inositol-1-monophosphatase, putative, expressed
GRMZM2G034421	WRKY84, expressed
GRMZM2G034428	OsSub52 - Putative Subtilisin homologue, expressed
GRMZM2G034430	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
GRMZM2G034442	protein phosphatase 2C, putative, expressed
GRMZM2G034447	single myb histone, putative, expressed
GRMZM2G034453	expressed protein
GRMZM2G034469	expressed protein
GRMZM2G034471	cytochrome P450, putative, expressed
GRMZM2G034495	acetyltransferase, GNAT family, putative, expressed
GRMZM2G034503	possible lysine decarboxylase domain containing protein, expressed
GRMZM2G034508	expressed protein
GRMZM2G034511	expressed protein
GRMZM2G034526	protein of unknown function DUF1421 domain containing protein, expressed
GRMZM2G034534	lecithin:cholesterol acyltransferase, putative, expressed
GRMZM2G034536	zinc finger, C3HC4 type family protein, expressed
GRMZM2G034551	metal cation transporter, putative, expressed
GRMZM2G034563	MYB family transcription factor, putative, expressed
GRMZM2G034572	leucine-rich repeat family protein, putative, expressed
GRMZM2G034573	expressed protein
GRMZM2G034575	glycosyl hydrolase, family 31, putative, expressed
GRMZM2G034594	serine/threonine-protein kinase AFC2, putative, expressed
GRMZM2G034598	beta-hexosaminidase precursor, putative, expressed
GRMZM2G034611	receptor-like kinase ARK1AS, putative, expressed
GRMZM2G034613	cation-transporting ATPase, putative, expressed
GRMZM2G034622	HECT-domain domain containing protein, expressed
GRMZM2G034623	expressed protein
GRMZM2G034631	expressed protein
GRMZM2G034638	TCP family transcription factor, putative, expressed
GRMZM2G034639	wound-responsive family protein, putative, expressed
GRMZM2G034645	vegetative storage protein, putative, expressed
GRMZM2G034647	cyclin, putative, expressed
GRMZM2G034651	pre-mRNA-splicing factor, putative, expressed
GRMZM2G034668	cytochrome b561, putative, expressed
GRMZM2G034672	Rf1, mitochondrial precursor, putative, expressed
GRMZM2G034676	cysteinyl-tRNA synthetase, putative, expressed
GRMZM2G034684	expressed protein
GRMZM2G034690	expressed protein
GRMZM2G034697	expressed protein
GRMZM2G034709	pre-mRNA-splicing factor, putative, expressed
GRMZM2G034724	cupin domain containing protein, expressed
GRMZM2G034737	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G034748	OsFBX108 - F-box domain containing protein, expressed
GRMZM2G034764	C2 domain containing protein, putative, expressed
GRMZM2G034779	STE_PAK_Ste20_Slob_Wnk.4 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
GRMZM2G034791	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G034794	60S ribosomal protein L15, putative, expressed
GRMZM2G034796	DEK C terminal domain containing protein, expressed
GRMZM2G034797	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G034804	RNA recognition motif containing protein, putative, expressed
GRMZM2G034810	DUF640 domain containing protein, putative, expressed
GRMZM2G034811	expressed protein
GRMZM2G034815	auxin-induced protein 5NG4, putative, expressed
GRMZM2G034828	Kinesin motor domain domain containing protein, expressed
GRMZM2G034830	EMB1379, putative, expressed
GRMZM2G034833	zinc finger DHHC domain-containing protein, putative, expressed
GRMZM2G034835	polygalacturonase, putative, expressed
GRMZM2G034840	auxin response factor, putative, expressed
GRMZM2G034843	hydroxyproline-rich glycoprotein family protein, putative, expressed
GRMZM2G034846	invertase/pectin methylesterase inhibitor family protein, putative, expressed
GRMZM2G034848	enolase, putative, expressed
GRMZM2G034852	expressed protein
GRMZM2G034855	serine/threonine-protein kinase, putative, expressed
GRMZM2G034868	transposon protein, putative, unclassified, expressed
GRMZM2G034876	growth-regulating factor, putative, expressed
GRMZM2G034877	STE_MEKK_ste11_MAP3K.15 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
GRMZM2G034882	expressed protein
GRMZM2G034894	OsNucAP1 - Putative Nucleoporin Autopeptidase homologue, expressed
GRMZM2G034896	respiratory burst oxidase, putative, expressed
GRMZM2G034904	AAA family ATPase, putative, expressed
GRMZM2G034917	gibberellin receptor GID1L2, putative, expressed
GRMZM2G034920	pumilio-family RNA binding protein, putative, expressed
GRMZM2G034924	pollen allergen Cyn d 23, putative, expressed
GRMZM2G034927	expressed protein
GRMZM2G034929	peptide chain release factor protein, putative, expressed
GRMZM2G034942	OsSigP7 - Putative Type I Signal Peptidase homologue; employs a putative Ser/Lys catalytic dyad, expressed
GRMZM2G034943	expressed protein
GRMZM2G034945	alpha-1,4-glucan-protein synthase, putative, expressed
GRMZM2G034947	expressed protein
GRMZM2G034956	nicotianamine synthase, putative, expressed
GRMZM2G034958	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G034961	ATP-binding cassette sub-family E member 1, putative, expressed
GRMZM2G034963	expressed protein
GRMZM2G034975	expressed protein
GRMZM2G034985	expressed protein
GRMZM2G035008	haemolysin-III, putative, expressed
GRMZM2G035017	40S ribosomal protein S4, putative, expressed
GRMZM2G035020	regulator of nonsense transcripts 1, putative, expressed
GRMZM2G035023	transferase family protein, putative, expressed
GRMZM2G035040	pollen-specific protein SF21, putative, expressed
GRMZM2G035042	GTP binding protein, putative, expressed
GRMZM2G035045	cysteine proteinase EP-B 1 precursor, putative, expressed
GRMZM2G035049	expressed protein
GRMZM2G035063	chaperonin, putative, expressed
GRMZM2G035068	DEAD/DEAH box helicase domain containing protein, expressed
GRMZM2G035073	cytochrome P450, putative, expressed
GRMZM2G035077	DNA binding protein, putative, expressed
GRMZM2G035092	OsMADS75 - MADS-box family gene with M-alpha type-box, expressed
GRMZM2G035098	serine/threonine-protein kinase RIO-like, putative, expressed
GRMZM2G035103	ZOS3-18 - C2H2 zinc finger protein, expressed
GRMZM2G035118	pumilio domain-containing protein PPD1, putative, expressed
GRMZM2G035122	plus-3 domain containing protein, expressed
GRMZM2G035131	hydrolase, alpha/beta fold family domain containing protein, expressed
GRMZM2G035134	phosphoethanolamine/phosphocholine phosphatase, putative, expressed
GRMZM2G035150	OTU-like cysteine protease family protein, putative, expressed
GRMZM2G035153	expressed protein
GRMZM2G035156	bHLH family protein, putative, expressed
GRMZM2G035165	tRNA synthetase class I, putative, expressed
GRMZM2G035168	DEAD/DEAH box helicase domain containing protein, expressed
GRMZM2G035170	BAG domain-containing protein, putative, expressed
GRMZM2G035171	DEAD-box ATP-dependent RNA helicase, putative, expressed
GRMZM2G035189	expansin precursor, putative, expressed
GRMZM2G035202	expressed protein
GRMZM2G035213	Cyclopropane-fatty-acyl-phospholipid synthase, putative, expressed
GRMZM2G035217	DUF677 domain containing protein, putative, expressed
GRMZM2G035222	expressed protein
GRMZM2G035243	OsFBK12 - F-box domain and kelch repeat containing protein, expressed
GRMZM2G035248	expressed protein
GRMZM2G035256	lecithin:cholesterol acyltransferase, putative, expressed
GRMZM2G035268	aldehyde dehydrogenase, putative, expressed
GRMZM2G035276	ABC-2 type transporter domain containing protein, expressed
GRMZM2G035278	lachrymatory factor synthase, putative, expressed
GRMZM2G035282	UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
GRMZM2G035285	expressed protein
GRMZM2G035298	mitochondrial carrier protein, putative, expressed
GRMZM2G035305	WW domain containing protein, expressed
GRMZM2G035309	cytochrome P450, putative, expressed
GRMZM2G035314	OsFBL4 - F-box domain and LRR containing protein, expressed
GRMZM2G035324	expressed protein
GRMZM2G035325	SWIB/MDM2 domain containing protein, expressed
GRMZM2G035338	phosphoribulokinase/Uridine kinase family protein, expressed
GRMZM2G035341	anaphase-promoting complex subunit 11, putative, expressed
GRMZM2G035346	aminopeptidase, putative, expressed
GRMZM2G035356	expressed protein
GRMZM2G035361	transcription factor jumonji, putative, expressed
GRMZM2G035370	Myb-like DNA-binding domain containing protein, putative, expressed
GRMZM2G035377	exostosin family domain containing protein, expressed
GRMZM2G035395	suppressor of Mek, putative, expressed
GRMZM2G035401	expressed protein
GRMZM2G035405	auxin response factor, putative, expressed
GRMZM2G035417	RAD23 DNA repair protein, putative, expressed
GRMZM2G035419	AGAP000425-PA, putative, expressed
GRMZM2G035421	phospholipase, patatin family, putative, expressed
GRMZM2G035430	expressed protein
GRMZM2G035444	membrane associated DUF588 domain containing protein, putative, expressed
GRMZM2G035445	domain of unknown function domain containing protein, expressed
GRMZM2G035451	DNA binding protein, putative, expressed
GRMZM2G035459	copper-transporting ATPase 3, putative, expressed
GRMZM2G035461	autophagy protein 9, putative, expressed
GRMZM2G035465	OsIAA17 - Auxin-responsive Aux/IAA gene family member, expressed
GRMZM2G035477	PPR repeat domain containing protein, putative, expressed
GRMZM2G035482	expressed protein
GRMZM2G035490	PME/invertase inhibitor, putative, expressed
GRMZM2G035497	pentatricopeptide, putative, expressed
GRMZM2G035502	glutathione S-transferase, N-terminal domain containing protein, expressed
GRMZM2G035503	glycosyl hydrolase family 3 protein, putative, expressed
GRMZM2G035506	peroxidase precursor, putative, expressed
GRMZM2G035514	expressed protein
GRMZM2G035517	OsSCP13 - Putative Serine Carboxypeptidase homologue, expressed
GRMZM2G035520	plasma membrane ATPase, putative, expressed
GRMZM2G035526	OsSigP5 - Putative Type I Signal Peptidase homologue; employs a putative Ser/His catalytic dyad, expressed
GRMZM2G035531	VQ domain containing protein, putative, expressed
GRMZM2G035542	inorganic H+ pyrophosphatase, putative, expressed
GRMZM2G035552	ACT domain containing protein, expressed
GRMZM2G035557	EF hand family protein, expressed
GRMZM2G035563	expressed protein
GRMZM2G035574	expressed protein
GRMZM2G035578	LRR receptor-like protein kinase, putative, expressed
GRMZM2G035579	SPX domain containing protein, putative, expressed
GRMZM2G035584	transferase family protein, putative, expressed
GRMZM2G035594	tetrapyrrole methylase family protein, putative, expressed
GRMZM2G035595	expressed protein
GRMZM2G035599	ribose-5-phosphate isomerase A, putative, expressed
GRMZM2G035601	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G035620	dienelactone hydrolase family protein, expressed
GRMZM2G035625	ZOS1-23 - C2H2 zinc finger protein, expressed
GRMZM2G035632	expressed protein
GRMZM2G035636	aspartic proteinase oryzasin-1 precursor, putative, expressed
GRMZM2G035637	Mo25, putative, expressed
GRMZM2G035651	NLI interacting factor-like phosphatase, putative, expressed
GRMZM2G035664	RIO1 family protein, expressed
GRMZM2G035665	CDT1A - Putative DNA replication initiation protein, expressed
GRMZM2G035685	expressed protein
GRMZM2G035688	OsRR5 type-A response regulator, expressed
GRMZM2G035701	B3 DNA binding domain containing protein, expressed
GRMZM2G035704	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G035708	peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
GRMZM2G035709	FAD dependent oxidoreductase domain containing protein, expressed
GRMZM2G035718	potassium transporter, putative, expressed
GRMZM2G035719	RNA recognition motif, putative, expressed
GRMZM2G035726	oryzain beta chain precursor, putative, expressed
GRMZM2G035732	expressed protein
GRMZM2G035736	vesicle-associated membrane protein, putative, expressed
GRMZM2G035739	Rer1 protein, putative, expressed
GRMZM2G035741	expressed protein
GRMZM2G035749	beta-amylase, putative, expressed
GRMZM2G035755	cytokinin-O-glucosyltransferase 3, putative, expressed
GRMZM2G035764	transposon protein, putative, Pong sub-class, expressed
GRMZM2G035767	lactate/malate dehydrogenase, putative, expressed
GRMZM2G035779	Ser/Thr protein phosphatase family protein, putative, expressed
GRMZM2G035784	expressed protein
GRMZM2G035785	zinc finger family protein, putative, expressed
GRMZM2G035790	peptide transporter PTR2, putative, expressed
GRMZM2G035804	expressed protein
GRMZM2G035805	expressed protein
GRMZM2G035807	DEAD-box ATP-dependent RNA helicase, putative, expressed
GRMZM2G035809	CAMK_CAMK_like.19 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G035820	chloroplast ribonuclease III domain protein, putative, expressed
GRMZM2G035821	protein binding protein, putative, expressed
GRMZM2G035826	pentatricopeptide, putative, expressed
GRMZM2G035839	DUF593 domain containing protein, expressed
GRMZM2G035843	CAMK_CAMK_like.43 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G035848	expressed protein
GRMZM2G035849	DHHC zinc finger domain containing protein, expressed
GRMZM2G035859	FAD binding domain of DNA photolyase domain containing protein, expressed
GRMZM2G035883	ESP1, putative, expressed
GRMZM2G035890	ribosome inactivating protein, expressed
GRMZM2G035893	inorganic H+ pyrophosphatase, putative, expressed
GRMZM2G035899	RING finger protein 13, putative, expressed
GRMZM2G035922	peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
GRMZM2G035928	LOL3, putative, expressed
GRMZM2G035933	fasciclin-like arabinogalactan protein, putative, expressed
GRMZM2G035944	TCP family transcription factor, putative, expressed
GRMZM2G035948	co-chaperone GrpE protein, putative, expressed
GRMZM2G035985	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G035992	armadillo/beta-catenin repeat family protein, putative, expressed
GRMZM2G035994	peroxisomal N-acetyl-spermine/spermidine oxidase precursor, putative, expressed
GRMZM2G035996	retrotransposon protein, putative, SINE subclass, expressed
GRMZM2G035997	Brix domain containing protein, putative, expressed
GRMZM2G035999	light-mediated development protein DET1, putative, expressed
GRMZM2G036007	inositol-1-monophosphatase, putative, expressed
GRMZM2G036019	nucleolar protein family 6, putative, expressed
GRMZM2G036025	OsPDIL1-2 protein disulfide isomerase PDIL1-2, expressed
GRMZM2G036034	coatomer subunit gamma-2, putative, expressed
GRMZM2G036050	metallo-beta-lactamase, putative, expressed
GRMZM2G036060	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G036063	LTPL50 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed
GRMZM2G036070	split hand/foot malformation type 1, putative, expressed
GRMZM2G036086	peroxisomal biogenesis factor 11, putative, expressed
GRMZM2G036092	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G036099	cupin, RmlC-type, putative, expressed
GRMZM2G036108	hAT dimerisation domain containing protein, expressed
GRMZM2G036113	phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
GRMZM2G036120	ENTH domain containing protein, expressed
GRMZM2G036123	phosphoribosylaminoimidazole carboxylase, chloroplast precursor, putative, expressed
GRMZM2G036131	aconitate hydratase protein, putative, expressed
GRMZM2G036134	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G036169	THION30 - Plant thionin family protein precursor, expressed
GRMZM2G036186	ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed
GRMZM2G036203	cysteine proteinase EP-B 1 precursor, putative, expressed
GRMZM2G036206	expressed protein
GRMZM2G036217	male sterility protein 2, putative, expressed
GRMZM2G036257	cytochrome P450 protein, putative, expressed
GRMZM2G036262	expressed protein
GRMZM2G036282	expressed protein
GRMZM2G036286	DUF581 domain containing protein, expressed
GRMZM2G036288	ZIM domain containing protein, putative, expressed
GRMZM2G036290	1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed
GRMZM2G036297	OsSPL8 - SBP-box gene family member, expressed
GRMZM2G036336	hydrolase, alpha/beta fold family domain containing protein, expressed
GRMZM2G036340	gibberellin 3-beta-dioxygenase 2-2, putative, expressed
GRMZM2G036349	ZIM domain containing protein, putative, expressed
GRMZM2G036351	ZIM domain containing protein, putative, expressed
GRMZM2G036365	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G036368	heavy metal-associated domain containing protein, expressed
GRMZM2G036380	hypothetical protein
GRMZM2G036386	AAA-type ATPase family protein, putative, expressed
GRMZM2G036388	strictosidine synthase, putative, expressed
